filename,umap_x,umap_y,cluster_id
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_TRITC_Day1.png,-4.643594,5.003117,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_TRITC_Day2.png,-3.3936749,6.6745386,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_FITC_Day0.png,-4.982577,3.096329,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_FITC_Day1.png,-7.0760946,2.1139839,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_FITC_Day2.png,-5.916857,5.1322064,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_Hoechst.png,16.637392,4.630055,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_TRITC_Day0.png,-3.3369865,8.078195,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_TRITC_Day1.png,-2.6123629,7.9986415,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_TRITC_Day2.png,-3.3161678,6.846186,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_FITC_Day1.png,-5.2756724,3.777169,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_FITC_Day0.png,-5.1225357,-2.8315227,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_FITC_Day2.png,-6.956497,-2.5156803,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_Hoechst.png,16.582674,4.506958,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_TRITC_Day0.png,-4.405477,7.6813197,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_TRITC_Day1.png,-3.9216475,7.7900314,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_TRITC_Day2.png,-4.636928,5.5267277,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_FITC_Day0.png,-5.3350616,-3.2411618,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_FITC_Day1.png,-6.5839005,-0.8003468,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_FITC_Day2.png,-8.866407,1.3543032,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_Hoechst.png,15.575782,2.6613243,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_TRITC_Day0.png,-5.1910663,3.435981,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_TRITC_Day1.png,-4.658612,4.924768,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_TRITC_Day2.png,-5.9368343,5.257865,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_FITC_Day0.png,-5.105106,-2.7929506,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_FITC_Day1.png,-5.302958,-3.6983862,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_FITC_Day2.png,-8.284502,-2.016412,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_Hoechst.png,14.789381,0.8129213,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_TRITC_Day0.png,-4.9430084,4.181901,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_TRITC_Day1.png,-5.1000247,3.1690218,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_TRITC_Day2.png,-6.923384,3.6594126,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_FITC_Day0.png,-3.579052,-5.039719,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_FITC_Day1.png,-6.6760306,-0.7330152,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_FITC_Day2.png,-7.4454126,3.307822,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_Hoechst.png,15.901653,3.3278165,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_TRITC_Day0.png,-5.0449915,3.144017,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_TRITC_Day1.png,-3.719895,6.668241,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_TRITC_Day2.png,-2.3464258,8.176405,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_FITC_Day0.png,-2.774798,-5.580649,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_FITC_Day1.png,-6.9541116,-0.49080384,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_FITC_Day2.png,-8.666209,1.721901,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_Hoechst.png,16.136513,4.4800463,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_TRITC_Day0.png,-4.262774,-2.3549716,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_TRITC_Day1.png,-5.001719,4.023996,1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_TRITC_Day2.png,-3.655492,6.1861815,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_FITC_Day0.png,-4.1334395,-4.930732,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_FITC_Day1.png,-6.531642,-3.635685,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_FITC_Day2.png,-7.8241982,1.5493492,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_Hoechst.png,14.894274,0.7881072,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_TRITC_Day0.png,-4.026059,-4.722979,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_TRITC_Day1.png,-6.5433702,-2.1915674,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_TRITC_Day2.png,-8.348596,0.7789626,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_FITC_Day0.png,-6.725534,-1.7214874,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_FITC_Day1.png,-5.0655847,-4.6676354,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_FITC_Day2.png,-6.206782,5.1352043,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_Hoechst.png,15.80715,3.25886,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_TRITC_Day0.png,-6.5404444,-1.6527447,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_TRITC_Day1.png,-5.0007505,-4.6236863,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_TRITC_Day2.png,-7.6292024,4.099693,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_FITC_Day0.png,-6.576106,-3.8868232,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_FITC_Day1.png,-8.273279,-0.028380284,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_FITC_Day2.png,-8.132692,3.0279841,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_Hoechst.png,16.150711,4.403548,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_TRITC_Day0.png,-6.63755,-2.7708333,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_TRITC_Day1.png,-8.146848,0.33611423,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_TRITC_Day2.png,-8.964488,1.5512202,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_FITC_Day0.png,-7.5633326,-1.1015022,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_FITC_Day1.png,-8.92934,0.8432431,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_FITC_Day2.png,-7.851286,3.5754004,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_Hoechst.png,16.447302,4.138699,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_TRITC_Day0.png,-7.489906,-0.7196906,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_TRITC_Day1.png,-8.695326,1.8119038,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_TRITC_Day2.png,-8.3036995,3.2611113,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_FITC_Day0.png,-6.1324944,-2.9774113,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_FITC_Day1.png,-2.62597,-6.1960664,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_FITC_Day2.png,-7.5642767,-1.937931,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_Hoechst.png,15.429519,2.275113,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_TRITC_Day0.png,-6.087673,-2.9722934,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_TRITC_Day1.png,-2.6272376,-6.049486,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_TRITC_Day2.png,-7.5989585,-2.1695828,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_FITC_Day0.png,-4.311821,-6.1052537,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_FITC_Day1.png,-7.567016,-3.4776983,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_FITC_Day2.png,-5.03374,-5.790384,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_Hoechst.png,16.19788,3.9853358,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_TRITC_Day0.png,-4.0233,-6.2590413,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_TRITC_Day1.png,-7.3556147,-3.6452174,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_TRITC_Day2.png,-5.040061,-5.7904444,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site3_FITC_Day0.png,-5.009736,-5.342113,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site3_FITC_Day1.png,-8.172176,1.885655,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site3_FITC_Day2.png,-8.299303,2.8314118,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site3_Hoechst.png,15.999483,3.5456169,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site3_TRITC_Day0.png,-4.817224,-5.470252,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site3_TRITC_Day1.png,-8.159609,1.914608,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site3_TRITC_Day2.png,-8.500107,2.7971723,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site4_FITC_Day0.png,-5.728332,-3.0875216,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site4_FITC_Day1.png,-8.297898,1.3875419,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site4_FITC_Day2.png,-8.46434,2.2594726,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site4_Hoechst.png,16.17571,4.405306,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site4_TRITC_Day0.png,-5.539067,-3.275659,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site4_TRITC_Day1.png,-8.277857,1.2673213,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site4_TRITC_Day2.png,-8.674928,2.0462039,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site1_FITC_Day0.png,-4.138893,7.9954357,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site1_FITC_Day1.png,-4.599402,5.7636013,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site1_FITC_Day2.png,-7.654216,-1.0889783,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site1_Hoechst.png,15.2063675,1.9951516,0
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site1_TRITC_Day0.png,-4.7408113,4.496046,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site1_TRITC_Day1.png,-4.5343533,7.5227466,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site1_TRITC_Day2.png,-3.831734,6.61833,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site2_FITC_Day0.png,-3.921491,7.0315576,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site2_FITC_Day1.png,-4.251225,5.96162,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site2_FITC_Day2.png,-6.411441,4.564575,1
