filename,umap_x,umap_y,final_cluster_id
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_FITC_Day0.png,4.7609496,-3.2176564,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_FITC_Day1.png,10.940297,-3.1654787,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_FITC_Day2.png,2.5391123,-3.745673,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_TRITC_Day0.png,4.785659,-3.170662,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_TRITC_Day1.png,10.829248,-2.9369729,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_TRITC_Day2.png,2.5540607,-3.8912618,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_FITC_Day0.png,9.335903,-4.5597563,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_FITC_Day1.png,4.0876637,-5.1740055,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_FITC_Day2.png,8.527734,-4.8061585,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_TRITC_Day0.png,9.656019,-4.5005126,1
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_TRITC_Day1.png,4.233538,-5.1669736,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_TRITC_Day2.png,8.513535,-4.808618,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site3_FITC_Day0.png,8.027664,-4.2680516,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site3_FITC_Day1.png,-1.8888562,-1.1947012,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site3_FITC_Day2.png,-3.2890813,-1.186813,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site3_TRITC_Day0.png,8.216469,-4.2383556,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site3_TRITC_Day1.png,-1.960448,-1.1719792,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site3_TRITC_Day2.png,-3.2692535,-1.3708943,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site4_FITC_Day0.png,5.4829326,-2.7812476,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site4_FITC_Day1.png,-1.4875697,-1.8456334,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site4_FITC_Day2.png,-2.515189,-1.8195089,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site4_TRITC_Day0.png,5.6180944,-2.7583365,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site4_TRITC_Day1.png,-1.4440467,-1.7984211,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site4_TRITC_Day2.png,-2.4804716,-1.9436802,0
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site1_FITC_Day2.png,1.4812188,-3.394872,0
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site3_FITC_Day1.png,-2.4573753,-0.8838189,0
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site3_TRITC_Day0.png,4.2118545,-2.0187726,0
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site4_FITC_Day1.png,3.4584947,-3.7764368,0
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site4_FITC_Day2.png,4.20574,-4.0404143,-1
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site4_TRITC_Day0.png,2.0574641,-2.0009456,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_250nM_BT549_site1_FITC_Day1.png,9.256127,-2.720024,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_250nM_BT549_site1_FITC_Day2.png,-3.9298618,-0.747177,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_250nM_BT549_site1_TRITC_Day0.png,11.132289,-2.449496,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_250nM_BT549_site2_FITC_Day1.png,3.4782493,-2.0902905,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_250nM_BT549_site2_FITC_Day2.png,0.004048597,-3.2134361,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_250nM_BT549_site2_TRITC_Day0.png,10.870661,-2.785421,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_250nM_BT549_site3_FITC_Day1.png,9.744002,-3.1360571,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_250nM_BT549_site3_FITC_Day2.png,5.3233113,-2.4548755,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_250nM_BT549_site3_TRITC_Day0.png,7.2057734,-2.3763423,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_250nM_BT549_site3_TRITC_Day1.png,6.2704134,-3.2416637,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_250nM_BT549_site4_FITC_Day1.png,0.6371728,-2.0146053,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_250nM_BT549_site4_FITC_Day2.png,1.0572578,-3.5757782,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_250nM_BT549_site4_TRITC_Day0.png,7.037472,-2.3229132,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_500nM_BT549_site1_FITC_Day0.png,5.9697,-2.2921705,-1
NCI Images/breast/bt549/nybd1/NYBD1-A4_500nM_BT549_site1_FITC_Day1.png,3.4764516,-2.8095946,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_500nM_BT549_site1_FITC_Day2.png,4.725855,-4.553688,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_500nM_BT549_site1_TRITC_Day0.png,8.834074,-3.0557356,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_500nM_BT549_site1_TRITC_Day2.png,1.6020949,-3.6402783,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_500nM_BT549_site2_FITC_Day0.png,4.1609755,-2.3473704,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_500nM_BT549_site2_FITC_Day1.png,9.612156,-3.1842496,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_500nM_BT549_site2_FITC_Day2.png,-4.0714793,-0.4965283,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_500nM_BT549_site2_TRITC_Day0.png,6.4880986,-3.3329685,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_500nM_BT549_site2_TRITC_Day1.png,7.772315,-2.3323705,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_500nM_BT549_site3_FITC_Day0.png,3.3396428,-2.0434341,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_500nM_BT549_site3_FITC_Day1.png,7.3647695,-2.6317055,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_500nM_BT549_site3_FITC_Day2.png,-1.9826823,-1.7340193,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_500nM_BT549_site3_TRITC_Day0.png,4.945241,-3.116085,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_500nM_BT549_site4_FITC_Day0.png,9.520025,-2.178144,0
