file_path,focus_score,status
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_TRITC_Day0.png,9731.343824826963,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_TRITC_Day2.png,9106.026549677747,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_TRITC_Day1.png,9186.704020419562,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_FITC_Day1.png,18.28569681457213,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_TRITC_Day0.png,5939.77997993743,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_FITC_Day2.png,1380.8112673789865,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_TRITC_Day0.png,4633.814180770553,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_TRITC_Day1.png,5605.36977038123,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_FITC_Day0.png,558.406172971742,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_FITC_Day0.png,689.1288674237006,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_FITC_Day2.png,3143.1612754320736,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_FITC_Day1.png,1250.5520172475356,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_FITC_Day1.png,64.05977240634955,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_FITC_Day1.png,1454.679865251381,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_TRITC_Day2.png,6663.127932384991,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_FITC_Day1.png,93.0952705827421,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_TRITC_Day2.png,474.85336084641585,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_TRITC_Day2.png,3763.306120110742,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_FITC_Day2.png,1000.6336744510828,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_FITC_Day2.png,1292.0493856273993,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_FITC_Day1.png,21.069144775051466,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_FITC_Day2.png,195.17872691668572,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_TRITC_Day1.png,9649.481874151757,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_TRITC_Day2.png,187.81844545565224,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_FITC_Day0.png,85.89633792249433,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_TRITC_Day2.png,187.1220457056422,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_FITC_Day0.png,8.989436186421838,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_TRITC_Day0.png,3172.853195796863,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_TRITC_Day2.png,7276.872949436822,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_TRITC_Day2.png,30.687352401326784,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_FITC_Day1.png,89.81440512881022,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_TRITC_Day1.png,8217.07382756461,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_TRITC_Day0.png,38.900975160594896,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_FITC_Day0.png,1501.298492364945,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_TRITC_Day1.png,731.800832077137,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_TRITC_Day0.png,77.49346094285629,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_FITC_Day0.png,1075.4720856293254,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_FITC_Day0.png,56.266881528379926,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_FITC_Day2.png,1213.669005019299,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_FITC_Day2.png,56.96810007222597,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_TRITC_Day2.png,187.4231361221312,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_TRITC_Day1.png,624.3593228332303,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_TRITC_Day0.png,425.77145888611733,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_TRITC_Day1.png,115.53377829884487,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_TRITC_Day1.png,569.7046209158856,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_FITC_Day1.png,84.59494127995987,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_TRITC_Day1.png,5358.35776622471,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_TRITC_Day2.png,5339.973296370315,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_TRITC_Day0.png,301.20109361832186,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_TRITC_Day0.png,4196.67464516897,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_FITC_Day1.png,1402.0469468426948,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_TRITC_Day1.png,4723.305820718001,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_FITC_Day2.png,2303.9159441601914,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_FITC_Day0.png,447.9454301328713,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_FITC_Day0.png,45.0506808663439,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_FITC_Day2.png,1212.0777663331958,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_FITC_Day0.png,53.26083490883225,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_TRITC_Day2.png,7380.813154605401,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_TRITC_Day0.png,9211.507723950273,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_FITC_Day2.png,1367.3098396011162,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_TRITC_Day1.png,444.28973470518116,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_TRITC_Day0.png,565.5530056543657,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_FITC_Day0.png,14.784717443081037,OK
