file_path,mean_score
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_Hoechst.png,9.85
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_TRITC_Day0.png,111.74
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_TRITC_Day1.png,111.12
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_TRITC_Day2.png,109.69
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_FITC_Day1.png,75.6
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_FITC_Day0.png,43.99
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_FITC_Day2.png,43.47
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_Hoechst.png,10.21
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_TRITC_Day0.png,99.66
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_TRITC_Day1.png,108.33
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_TRITC_Day2.png,97.74
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_FITC_Day0.png,27.65
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_FITC_Day1.png,44.13
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_FITC_Day2.png,38.84
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_Hoechst.png,8.19
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_TRITC_Day0.png,76.35
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_TRITC_Day1.png,90.84
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_TRITC_Day2.png,86.05
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_FITC_Day0.png,38.29
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_FITC_Day1.png,33.8
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_FITC_Day2.png,27.54
